"Second","Think_Tokens","Regular_Tokens","Total_Tokens"
"6","20","0","20"
"7","56","0","56"
"8","86","0","86"
"9","47","17","64"
"10","0","71","71"
"11","0","14","14"
"12","0","66","66"
