"Second","Think_Tokens","Regular_Tokens","Total_Tokens"
"3","36","0","36"
"4","66","0","66"
"5","65","0","65"
"6","72","0","72"
"7","21","36","57"
"8","0","43","43"
"9","0","67","67"
"10","0","68","68"
"11","0","70","70"
"12","0","36","36"
