"Second","Think_Tokens","Regular_Tokens","Total_Tokens"
"5","17","0","17"
"6","87","0","87"
"7","63","9","72"
"8","0","41","41"
"9","0","57","57"
"10","0","58","58"
"11","0","56","56"
"12","0","78","78"
"13","0","76","76"
"14","0","79","79"
"15","0","57","57"
"16","0","108","108"
"17","0","88","88"
"19","0","162","162"
"20","0","50","50"
"21","0","41","41"
"22","0","81","81"
"23","0","68","68"
"24","0","4","4"
