"Second","Think_Tokens","Regular_Tokens","Total_Tokens"
"2","29","0","29"
"3","39","0","39"
"4","40","0","40"
"5","38","0","38"
"6","25","0","25"
"7","7","17","24"
"8","0","20","20"
"9","0","28","28"
"10","0","46","46"
"11","0","44","44"
"12","0","21","21"
"13","0","44","44"
"14","0","60","60"
"15","0","77","77"
"16","0","81","81"
"17","0","92","92"
"18","0","32","32"
"19","0","23","23"
"20","0","52","52"
"21","0","48","48"
"22","0","79","79"
"23","0","52","52"
"24","0","78","78"
"25","0","5","5"
